year,region_type,region_name,district,party_name,candidate_name,votes,eligible_voters
2026,ward,大田区,東京4区,自由民主党,山田太郎,45230,120000
2026,ward,大田区,東京4区,立憲民主党,鈴木花子,38450,120000
2026,ward,大田区,東京4区,日本維新の会,田中一郎,12340,120000
2026,ward,大田区,東京4区,公明党,佐藤次郎,8920,120000
2026,ward,大田区,東京4区,日本共産党,高橋三郎,6780,120000
2026,ward,大田区,東京4区,れいわ新選組,伊藤四郎,4230,120000
2026,ward,大田区,東京3区,立憲民主党,渡辺美咲,42180,115000
2026,ward,大田区,東京3区,自由民主党,小林健太,39870,115000
2026,ward,大田区,東京3区,日本維新の会,加藤裕子,11230,115000
2026,ward,大田区,東京3区,公明党,吉田明,7650,115000
2026,ward,大田区,東京3区,日本共産党,山本洋介,5420,115000
2026,ward,大田区,東京3区,国民民主党,中村誠,3890,115000
