year,region_type,region_name,district,party_name,candidate_name,votes,eligible_voters
2026,ward,千代田区,東京1区,自由民主党,候補A,28500,65000
2026,ward,千代田区,東京1区,立憲民主党,候補B,24300,65000
2026,ward,千代田区,東京1区,日本維新の会,候補C,8200,65000
2026,ward,中央区,東京1区,自由民主党,候補A,42100,95000
2026,ward,中央区,東京1区,立憲民主党,候補B,38500,95000
2026,ward,中央区,東京1区,日本維新の会,候補C,12400,95000
2026,ward,港区,東京1区,立憲民主党,候補B,52300,130000
2026,ward,港区,東京1区,自由民主党,候補A,48900,130000
2026,ward,港区,東京1区,日本維新の会,候補C,15600,130000
2026,ward,新宿区,東京1区,立憲民主党,候補D,61200,145000
2026,ward,新宿区,東京1区,自由民主党,候補E,54800,145000
2026,ward,新宿区,東京1区,日本共産党,候補F,18300,145000
2026,ward,文京区,東京2区,自由民主党,候補G,48700,110000
2026,ward,文京区,東京2区,立憲民主党,候補H,42100,110000
2026,ward,文京区,東京2区,日本維新の会,候補I,13500,110000
2026,ward,台東区,東京2区,立憲民主党,候補H,45200,105000
2026,ward,台東区,東京2区,自由民主党,候補G,41800,105000
2026,ward,台東区,東京2区,日本共産党,候補J,12300,105000
2026,ward,墨田区,東京14区,自由民主党,候補K,52400,125000
2026,ward,墨田区,東京14区,立憲民主党,候補L,46800,125000
2026,ward,墨田区,東京14区,公明党,候補M,14200,125000
2026,ward,江東区,東京15区,自由民主党,候補N,68500,165000
2026,ward,江東区,東京15区,立憲民主党,候補O,62300,165000
2026,ward,江東区,東京15区,日本維新の会,候補P,21400,165000
2026,ward,品川区,東京3区,立憲民主党,候補Q,72100,175000
2026,ward,品川区,東京3区,自由民主党,候補R,65400,175000
2026,ward,品川区,東京3区,日本維新の会,候補S,19800,175000
2026,ward,目黒区,東京5区,立憲民主党,木村優子,48320,125000
2026,ward,目黒区,東京5区,自由民主党,斎藤隆,41250,125000
2026,ward,目黒区,東京5区,日本維新の会,松本真由美,15680,125000
2026,ward,大田区,東京4区,自由民主党,山田太郎,85100,235000
2026,ward,大田区,東京4区,立憲民主党,鈴木花子,78320,235000
2026,ward,大田区,東京4区,日本維新の会,田中一郎,23570,235000
2026,ward,世田谷区,東京6区,立憲民主党,候補T,125400,320000
2026,ward,世田谷区,東京6区,自由民主党,候補U,112300,320000
2026,ward,世田谷区,東京6区,日本維新の会,候補V,38500,320000
2026,ward,渋谷区,東京7区,立憲民主党,候補W,48200,115000
2026,ward,渋谷区,東京7区,自由民主党,候補X,43500,115000
2026,ward,渋谷区,東京7区,日本維新の会,候補Y,14800,115000
2026,ward,中野区,東京10区,立憲民主党,候補Z,62400,150000
2026,ward,中野区,東京10区,自由民主党,候補AA,55800,150000
2026,ward,中野区,東京10区,日本共産党,候補BB,18200,150000
2026,ward,杉並区,東京8区,立憲民主党,候補CC,98500,245000
2026,ward,杉並区,東京8区,自由民主党,候補DD,86200,245000
2026,ward,杉並区,東京8区,れいわ新選組,候補EE,28400,245000
2026,ward,豊島区,東京10区,自由民主党,候補FF,54300,135000
2026,ward,豊島区,東京10区,立憲民主党,候補GG,48900,135000
2026,ward,豊島区,東京10区,日本維新の会,候補HH,15600,135000
2026,ward,北区,東京12区,公明党,候補II,58200,155000
2026,ward,北区,東京12区,立憲民主党,候補JJ,52400,155000
2026,ward,北区,東京12区,自由民主党,候補KK,48100,155000
2026,ward,荒川区,東京14区,自由民主党,候補LL,42100,105000
2026,ward,荒川区,東京14区,立憲民主党,候補MM,38500,105000
2026,ward,荒川区,東京14区,日本共産党,候補NN,12800,105000
2026,ward,板橋区,東京11区,立憲民主党,候補OO,95200,245000
2026,ward,板橋区,東京11区,自由民主党,候補PP,86400,245000
2026,ward,板橋区,東京11区,日本維新の会,候補QQ,28500,245000
2026,ward,練馬区,東京9区,自由民主党,候補RR,112500,285000
2026,ward,練馬区,東京9区,立憲民主党,候補SS,98400,285000
2026,ward,練馬区,東京9区,日本維新の会,候補TT,32100,285000
2026,ward,足立区,東京13区,自由民主党,候補UU,98600,255000
2026,ward,足立区,東京13区,立憲民主党,候補VV,86200,255000
2026,ward,足立区,東京13区,日本維新の会,候補WW,28400,255000
2026,ward,葛飾区,東京17区,自由民主党,候補XX,82400,205000
2026,ward,葛飾区,東京17区,立憲民主党,候補YY,72100,205000
2026,ward,葛飾区,東京17区,公明党,候補ZZ,24500,205000
2026,ward,江戸川区,東京16区,自由民主党,候補AAA,105200,265000
2026,ward,江戸川区,東京16区,立憲民主党,候補BBB,92400,265000
2026,ward,江戸川区,東京16区,日本維新の会,候補CCC,31200,265000
